norad_id,name,object_type,satellite_constellation,altitude_km,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
900,CALSPHERE 1,PAYLOAD,Other,975.7947872624336,Low LEO,LEO-Polar,LOW,90.2213,0.00237484,2024,0,<1yr,13.76649452,2026-07-13 03:15:37.038240,celestrak,2026-07-13,US,2026-07-13
902,CALSPHERE 2,PAYLOAD,Other,1061.5994454559295,Mid LEO,LEO-Polar,LOW,90.2347,0.00195488,2024,0,<1yr,13.52902302,2026-07-13 03:50:06.194688,celestrak,2026-07-13,US,2026-07-13
1361,LCS 1,PAYLOAD,Other,2787.8668575672536,High LEO,MEO,LOW,32.1398,0.0012374,2024,0,<1yr,9.89310705,2026-07-13 05:22:30.480096,celestrak,2026-07-13,US,2026-07-13
1512,TEMPSAT 1,PAYLOAD,Other,1133.2319020958412,Mid LEO,LEO-Polar,HIGH,89.9978,0.0069927,2024,0,<1yr,13.33595509,2026-07-13 11:40:59.394720,celestrak,2026-07-13,US,2026-07-13
1520,CALSPHERE 4A,PAYLOAD,Other,1123.1576519596165,Mid LEO,LEO-Polar,HIGH,89.899,0.0071395,2024,0,<1yr,13.36282942,2026-07-13 12:07:15.869856,celestrak,2026-07-13,US,2026-07-13
2826,OPS 5712 (P/L 160),PAYLOAD,Other,635.4563795835902,Low LEO,LEO-Inclined,MEDIUM,69.9176,0.00019804,2024,0,<1yr,14.78059396,2026-07-13 05:48:05.777856,celestrak,2026-07-13,US,2026-07-13
2866,LES-5,PAYLOAD,Other,33401.152689785325,MEO,MEO,LOW,2.6828,0.0051419,2024,0,<1yr,1.09425169,2026-07-13 11:01:56.083296,celestrak,2026-07-13,US,2026-07-13
2872,SURCAL 159,PAYLOAD,Other,895.1513951209236,Low LEO,LEO-Inclined,MEDIUM,69.9753,0.0004292,2024,0,<1yr,13.9960843,2026-07-13 10:59:39.962688,celestrak,2026-07-13,US,2026-07-13
2874,OPS 5712 (P/L 153),PAYLOAD,Other,904.7861398685682,Low LEO,LEO-Inclined,LOW,69.9735,0.00069757,2024,0,<1yr,13.96831988,2026-07-13 02:49:09.346656,celestrak,2026-07-13,US,2026-07-13
5204,OPS 3811 (DSP 2),PAYLOAD,Other,36389.38391437479,Beyond GEO,HEO,LOW,0.3105,0.0021787,2024,0,<1yr,0.98159344,2026-05-18 12:13:03.794016,celestrak,2026-05-18,US,2026-05-18
5398,RIGIDSPHERE 2 (LCS 4),PAYLOAD,Other,765.4435157371981,Low LEO,LEO-Polar,MEDIUM,87.6235,0.00613229,2024,0,<1yr,14.37900537,2026-07-13 06:55:47.780544,celestrak,2026-07-13,US,2026-07-13
7530,OSCAR 7 (AO-7),PAYLOAD,Other,1449.063006562781,Mid LEO,LEO-Polar,LOW,101.9904,0.00126585,2024,0,<1yr,12.53698525,2026-07-12 23:45:28.597248,celestrak,2026-07-13,US,2026-07-13
7646,STARLETTE,PAYLOAD,Other,955.5607875030692,Low LEO,LEO-Inclined,LOW,49.8262,0.02056858,2024,0,<1yr,13.82350736,2026-07-13 06:16:09.000192,celestrak,2026-07-13,FR,2026-07-13
8820,LAGEOS 1,PAYLOAD,Other,5893.050179616029,High LEO,MEO,LOW,109.8042,0.00446649,2024,1,<1yr,6.38664668,2026-07-12 16:16:28.609824,celestrak,2026-07-13,US,2026-07-13
13086,OPS 8701 (DSP 10),PAYLOAD,Other,36381.23139253016,Beyond GEO,HEO,LOW,9.351,0.0003926,2024,0,<1yr,0.98187418,2026-05-18 12:06:11.005056,celestrak,2026-05-18,US,2026-05-18
14129,PHASE 3B (AO-10),PAYLOAD,Other,19723.76893927658,MEO,MEO,MEDIUM,25.9319,0.60033527,2024,4,<1yr,2.05870648,2026-07-09 16:55:32.549376,celestrak,2026-07-13,GER,2026-07-13
14781,UOSAT 2 (UO-11),PAYLOAD,Other,595.2955707549463,Low LEO,LEO-Polar,HIGH,97.8075,0.00091954,2024,0,<1yr,14.90846236,2026-07-13 06:19:23.374272,celestrak,2026-07-13,UK,2026-07-13
16908,AJISAI (EGS),PAYLOAD,Other,1487.5144591403696,Mid LEO,LEO-Inclined,LOW,50.01,0.00110938,2024,0,<1yr,12.4451666,2026-07-13 08:04:06.352032,celestrak,2026-07-13,JPN,2026-07-13
19548,TDRS 3,PAYLOAD,Other,35789.01051172785,GEO,GEO-Inclined,HIGH,12.5822,0.00370298,2024,0,<1yr,1.00263169,2026-07-13 06:11:38.557824,celestrak,2026-07-13,US,2026-07-13
19751,COSMOS 1989 (ETALON 1),PAYLOAD,Other,19125.583811811342,MEO,MEO,MEDIUM,64.9606,0.00233175,2024,0,<1yr,2.13155942,2026-07-13 06:23:55.701888,celestrak,2026-07-13,CIS,2026-07-13
20026,COSMOS 2024 (ETALON 2),PAYLOAD,Other,19121.71201363974,MEO,MEO,MEDIUM,64.9174,0.0020771,2024,0,<1yr,2.13204491,2026-07-12 23:11:15.586368,celestrak,2026-07-13,CIS,2026-07-13
20253,FLTSATCOM 8 (USA 46),PAYLOAD,Other,35788.71023121983,GEO,GEO-Inclined,HIGH,12.4142,0.00034723,2024,0,<1yr,1.0026424,2026-07-12 19:14:20.037984,celestrak,2026-07-13,US,2026-07-13
20442,LUSAT (LO-19),PAYLOAD,Other,777.9583505432274,Low LEO,LEO-Polar,MEDIUM,98.8847,0.00124401,2024,1,<1yr,14.34130209,2026-07-12 07:10:02.661888,celestrak,2026-07-13,ARGN,2026-07-13
20580,HST,PAYLOAD,Other,472.68073403391736,Very Low LEO,LEO-Equatorial,HIGH,28.4725,0.00022262,2024,0,<1yr,15.31049183,2026-07-13 06:49:09.806592,celestrak,2026-07-13,US,2026-07-13
20776,SKYNET 4C,PAYLOAD,Other,36268.29049237574,Beyond GEO,HEO,LOW,13.3299,0.00027927,2024,0,<1yr,0.98577722,2026-07-13 02:27:22.540608,celestrak,2026-07-13,UK,2026-07-13
20929,USA 65 (DSP 15),PAYLOAD,Other,36320.01580918078,Beyond GEO,HEO,LOW,14.0225,0.0004139,2024,0,<1yr,0.98398648,2026-05-18 09:52:31.466784,celestrak,2026-05-18,US,2026-05-18
21639,TDRS 5,PAYLOAD,Other,35786.34938837877,GEO,GEO-Inclined,HIGH,14.0678,0.00074467,2024,0,<1yr,1.00272661,2026-07-13 07:20:19.165632,celestrak,2026-07-13,US,2026-07-13
21805,USA 75 (DSP 16),PAYLOAD,Other,36093.49836529495,Beyond GEO,HEO,LOW,14.0192,0.0004031,2024,0,<1yr,0.99186893,2026-05-18 11:09:34.632288,celestrak,2026-05-18,US,2026-05-18
22195,LAGEOS 2,PAYLOAD,Other,5783.747527006582,High LEO,MEO,LOW,52.6512,0.0137928,2024,10,<1yr,6.47293802,2026-07-03 12:24:12.574080,celestrak,2026-07-13,IT,2026-07-13
22314,TDRS 6,PAYLOAD,Other,35784.16546146356,GEO,MEO,HIGH,14.1831,0.0008254,2024,0,<1yr,1.00280452,2026-07-13 07:00:38.545920,celestrak,2026-07-13,US,2026-07-13
22490,SCD 1,PAYLOAD,Other,738.3228710196645,Low LEO,LEO-Equatorial,MEDIUM,24.9704,0.00420176,2024,0,<1yr,14.46128066,2026-07-12 23:46:28.062912,celestrak,2026-07-13,BRAZ,2026-07-13
22787,UFO 2 (USA 95),PAYLOAD,Other,35787.250400198085,GEO,GEO-Inclined,HIGH,11.904,0.00026165,2024,0,<1yr,1.00269447,2026-07-13 03:20:02.738112,celestrak,2026-07-13,US,2026-07-13
22824,STELLA,PAYLOAD,Other,800.1962258602534,Low LEO,LEO-Polar,MEDIUM,98.7713,0.00068346,2024,0,<1yr,14.2747115,2026-07-13 06:27:43.780608,celestrak,2026-07-13,FR,2026-07-13
22825,EYESAT A (AO-27),PAYLOAD,Other,788.561284026845,Low LEO,LEO-Polar,MEDIUM,98.6869,0.00088758,2024,0,<1yr,14.30948752,2026-07-13 03:37:54.441984,celestrak,2026-07-13,US,2026-07-13
22826,ITAMSAT (IO-26),PAYLOAD,Other,787.134024722086,Low LEO,LEO-Polar,MEDIUM,98.6817,0.00090858,2024,0,<1yr,14.31376322,2026-07-13 02:57:06.045696,celestrak,2026-07-13,IT,2026-07-13
22988,USA 99 (MILSTAR-1 1),PAYLOAD,Other,36227.18346333747,Beyond GEO,HEO,LOW,17.6619,0.00016267,2024,2,<1yr,0.98720423,2026-07-11 15:22:25.455360,celestrak,2026-07-13,US,2026-07-13
23439,RADIO ROSTO (RS15),PAYLOAD,Other,2022.3156220004576,High LEO,MEO,LOW,64.8159,0.01568332,2024,0,<1yr,11.27583551,2026-07-13 04:34:25.521888,celestrak,2026-07-13,CIS,2026-07-13
23467,UFO 4 (USA 108),PAYLOAD,Other,35785.41674887227,GEO,MEO,HIGH,9.6746,0.00031383,2024,0,<1yr,1.00275988,2026-07-13 05:43:41.916576,celestrak,2026-07-13,US,2026-07-13
23613,TDRS 7,PAYLOAD,Other,35785.83947178034,GEO,MEO,HIGH,13.3664,0.00115642,2024,0,<1yr,1.0027448,2026-07-12 22:29:16.382688,celestrak,2026-07-13,US,2026-07-13
23712,USA 115 (MILSTAR-1 2),PAYLOAD,Other,35786.31715020436,GEO,GEO-Inclined,HIGH,14.0819,0.00060652,2024,0,<1yr,1.00272776,2026-07-13 05:32:03.822720,celestrak,2026-07-13,US,2026-07-13
23802,POLAR,PAYLOAD,Other,29112.677112460227,MEO,MEO,LOW,79.8886,0.6496555,2024,0,<1yr,1.29846073,2026-07-13 05:24:03.158784,celestrak,2026-07-13,US,2026-07-13
23839,INMARSAT 3-F1,PAYLOAD,Other,35868.62302806725,GEO,GEO-Inclined,HIGH,10.6534,0.00044188,2024,0,<1yr,0.99979889,2026-07-13 05:37:13.158912,celestrak,2026-07-13,IM,2026-07-13
23893,USA 119,PAYLOAD,Other,1085.7768254394323,Mid LEO,LEO-Inclined,LOW,63.3184,0.08525903,2024,0,<1yr,13.46334073,2026-07-13 06:12:09.620352,celestrak,2026-07-13,US,2026-07-13
24278,JAS-2 (FO-29),PAYLOAD,Other,1060.2318785419511,Mid LEO,LEO-Polar,LOW,98.5221,0.0350477,2024,1,<1yr,13.53275422,2026-07-12 12:32:04.080480,celestrak,2026-07-13,JPN,2026-07-13
24307,INMARSAT 3-F2,PAYLOAD,Other,35864.99932400756,GEO,GEO-Inclined,HIGH,9.9131,0.00064,2024,0,<1yr,0.99992754,2026-07-12 22:39:22.914144,celestrak,2026-07-13,IM,2026-07-13
24674,INMARSAT 3-F3,PAYLOAD,Other,35864.50364256093,GEO,GEO-Inclined,HIGH,10.3728,0.00035419,2024,0,<1yr,0.99994514,2026-07-13 06:41:41.138304,celestrak,2026-07-13,IM,2026-07-13
24876,NAVSTAR 43 (USA 132),PAYLOAD,Other,20182.188304716892,MEO,MEO,MEDIUM,56.0079,0.01037124,2024,0,<1yr,2.00563859,2026-07-13 03:04:05.792448,celestrak,2026-07-13,US,2026-07-13
24920,FORTE,PAYLOAD,Other,798.5745439534794,Low LEO,LEO-Inclined,MEDIUM,69.9547,0.00243915,2024,0,<1yr,14.27955014,2026-07-13 07:02:09.936384,celestrak,2026-07-13,US,2026-07-13
24936,AMC-3,PAYLOAD,Other,36128.43582323276,Beyond GEO,HEO,LOW,8.1784,0.00044061,2024,1,<1yr,0.99064631,2026-06-22 14:11:33.529920,celestrak,2026-06-23,SES,2026-06-23
25019,USA 134,PAYLOAD,Other,35786.20473757392,GEO,GEO-Inclined,HIGH,12.814,0.00024821,2024,0,<1yr,1.00273177,2026-07-13 00:57:17.277984,celestrak,2026-07-13,US,2026-07-13
25118,ORBCOMM FM06,PAYLOAD,Other,733.421426837509,Low LEO,LEO-Inclined,MEDIUM,45.0142,0.00013418,2024,1,<1yr,14.47623379,2026-07-12 07:49:59.704608,celestrak,2026-07-13,ORB,2026-07-13
25153,INMARSAT 3-F5,PAYLOAD,Other,35786.053640480466,GEO,GEO-Inclined,HIGH,9.7494,0.00043139,2024,0,<1yr,1.00273716,2026-07-13 05:15:01.523232,celestrak,2026-07-13,IM,2026-07-13
25159,ORBCOMM FM04,PAYLOAD,Other,772.4682247133187,Low LEO,LEO-Retrograde,MEDIUM,107.9633,0.00419284,2024,0,<1yr,14.35782181,2026-07-12 21:28:26.122656,celestrak,2026-07-13,ORB,2026-07-13
25160,CELESTIS-02 & TAURUS R/B,ROCKET BODY,Other,816.9322037983966,Low LEO,LEO-Retrograde,MEDIUM,108.0158,0.00601551,2024,0,<1yr,14.22493527,2026-07-13 00:09:25.034400,celestrak,2026-07-13,US,2026-07-13
25397,TECHSAT 1B (GO-32),PAYLOAD,Other,810.3992811620592,Low LEO,LEO-Polar,MEDIUM,99.0083,0.00021307,2024,0,<1yr,14.24433105,2026-07-12 21:55:49.712448,celestrak,2026-07-13,ISRA,2026-07-13
25398,WESTPAC,PAYLOAD,Other,815.0405517797944,Low LEO,LEO-Polar,MEDIUM,99.0155,0.00022195,2024,0,<1yr,14.23054692,2026-07-13 05:05:38.282496,celestrak,2026-07-13,AUS,2026-07-13
25415,ORBCOMM FM19,PAYLOAD,Other,760.0206531367321,Low LEO,LEO-Equatorial,MEDIUM,44.9931,0.00032945,2024,0,<1yr,14.39539409,2026-07-13 04:36:12.087648,celestrak,2026-07-13,ORB,2026-07-13
25416,ORBCOMM FM20,PAYLOAD,Other,764.7915881447343,Low LEO,LEO-Equatorial,MEDIUM,44.9931,0.000168,2024,1,<1yr,14.38097395,2026-07-12 05:31:50.257056,celestrak,2026-07-13,ORB,2026-07-13
25481,ORBCOMM FM27,PAYLOAD,Other,761.2049657322805,Low LEO,LEO-Inclined,MEDIUM,45.0035,0.00024412,2024,2,<1yr,14.39181226,2026-07-11 11:36:25.088544,celestrak,2026-07-13,ORB,2026-07-13
25504,SCD 2,PAYLOAD,Other,740.2709257272209,Low LEO,LEO-Equatorial,MEDIUM,24.9949,0.00169388,2024,0,<1yr,14.45534476,2026-07-13 06:10:19.471584,celestrak,2026-07-13,BRAZ,2026-07-13
25544,ISS (ZARYA),PAYLOAD,Other,419.66154691097654,Very Low LEO,LEO-Inclined,HIGH,51.6304,0.00066854,2024,0,<1yr,15.48996109,2026-07-13 02:54:40.039200,celestrak,2026-07-13,CIS,2026-07-13
25560,SWAS,PAYLOAD,Other,536.9956264652146,Low LEO,LEO-Inclined,HIGH,69.8938,0.00080826,2024,0,<1yr,15.09739407,2026-07-13 01:19:14.781216,celestrak,2026-07-13,US,2026-07-13
25575,ISS (UNITY),PAYLOAD,Other,419.66154691097654,Very Low LEO,LEO-Inclined,HIGH,51.6304,0.00066854,2024,0,<1yr,15.48996109,2026-07-13 02:54:40.039200,celestrak,2026-07-13,US,2026-07-13
25639,SKYNET 4E,PAYLOAD,Other,36138.21563382071,Beyond GEO,HEO,LOW,11.9991,0.000393,2024,0,<1yr,0.99030452,2026-02-25 04:18:38.724768,celestrak,2026-02-25,UK,2026-02-25
25757,DLR-TUBSAT,PAYLOAD,Other,717.713154328263,Low LEO,LEO-Polar,MEDIUM,98.6709,0.00129616,2024,0,<1yr,14.52433002,2026-07-12 22:05:35.837952,celestrak,2026-07-13,GER,2026-07-13
25867,CXO,PAYLOAD,Other,74416.43381974871,Beyond GEO,HEO,LOW,56.5906,0.77946086,2024,-2,UNKNOWN,0.37803281,2026-07-14 19:45:30.683520,celestrak,2026-07-13,US,2026-07-13
25924,ABS-6,PAYLOAD,Other,35786.43545058966,GEO,GEO,HIGH,0.0607,0.00032997,2024,0,<1yr,1.00272354,2026-07-13 04:51:38.592864,celestrak,2026-07-13,ABS,2026-07-13
25933,NAVSTAR 46 (USA 145),PAYLOAD,Other,20182.457755524865,MEO,MEO,MEDIUM,51.4386,0.01064263,2024,0,<1yr,2.00560807,2026-07-13 05:10:24.620736,celestrak,2026-07-13,US,2026-07-13
25967,UFO 10 (USA 146),PAYLOAD,Other,35786.25659866943,GEO,GEO-Inclined,HIGH,9.859,0.00014986,2024,0,<1yr,1.00272992,2026-07-12 20:14:46.195872,celestrak,2026-07-13,US,2026-07-13
25982,ORBCOMM FM32,PAYLOAD,Other,767.8787084782543,Low LEO,LEO-Inclined,MEDIUM,45.0156,0.00054023,2024,1,<1yr,14.37165596,2026-07-12 00:54:20.577024,celestrak,2026-07-13,ORB,2026-07-13
25989,XMM-NEWTON,PAYLOAD,Other,60564.012158149344,Beyond GEO,HEO,LOW,64.3559,0.46682181,2024,1,<1yr,0.50124873,2026-07-12 06:46:16.393152,celestrak,2026-07-13,ESA,2026-07-13
25994,TERRA,PAYLOAD,Other,689.550868711236,Low LEO,LEO-Polar,MEDIUM,97.9443,0.00033318,2024,0,<1yr,14.61122807,2026-07-13 05:58:12.184032,celestrak,2026-07-13,US,2026-07-13
26107,ASIASTAR,PAYLOAD,Other,35786.512542519544,GEO,GEO-Inclined,HIGH,9.1876,0.00036989,2024,0,<1yr,1.00272079,2026-07-13 01:59:10.246272,celestrak,2026-07-13,US,2026-07-13
26113,IMAGE,PAYLOAD,Other,23433.24157842422,MEO,MEO,MEDIUM,94.2468,0.74160542,2024,3,<1yr,1.68666826,2026-07-10 09:33:22.635360,celestrak,2026-07-13,US,2026-07-13
26356,USA 149 (DSP 20),PAYLOAD,Other,35783.91656052253,GEO,MEO,HIGH,13.1896,0.0001755,2024,0,<1yr,1.0028134,2026-07-13 07:36:02.274336,celestrak,2026-07-13,US,2026-07-13
26360,NAVSTAR 47 (USA 150),PAYLOAD,Other,20182.057554674084,MEO,MEO,MEDIUM,55.0616,0.0038847,2024,1,<1yr,2.0056534,2026-01-09 00:59:27.288384,celestrak,2026-01-10,US,2026-01-10
26388,TDRS 8,PAYLOAD,Other,35786.32163551189,GEO,GEO-Inclined,HIGH,12.7232,0.00041289,2024,0,<1yr,1.0027276,2026-07-13 01:53:25.796256,celestrak,2026-07-13,US,2026-07-13
26400,ISS (ZVEZDA),PAYLOAD,Other,419.66154691097654,Very Low LEO,LEO-Inclined,HIGH,51.6304,0.00066854,2024,0,<1yr,15.48996109,2026-07-13 02:54:40.039200,celestrak,2026-07-13,CIS,2026-07-13
